WORD,FROM,TO,SPEAKER,SPOKEN_TIME,LABEL
hello,2.02,2.63,0,0.61,1
hello,3.75,4.02,1,0.27,1
resets,4.02,4.55,1,0.53,1
%HESITATION,4.55,4.84,1,0.29,1
Vicky,4.87,5.34,1,0.47,1
Robinson,5.34,5.97,1,0.63,1
yes,6.51,7.12,0,0.61,1
please,7.55,7.8,0,0.25,1
hi,9.03,9.37,1,0.34,1
Vicki,9.37,9.8,1,0.43,1
my,9.8,9.96,1,0.16,1
name,9.96,10.16,1,0.2,1
is,10.16,10.27,1,0.11,1
rob,10.27,10.64,1,0.37,1
I'm,10.64,10.86,1,0.22,1
one,10.86,11.14,1,0.28,1
of,11.14,11.21,1,0.07,1
the,11.21,11.3,1,0.09,1
doctors,11.3,11.85,1,0.55,1
who,11.85,11.98,1,0.13,1
works,11.98,12.33,1,0.35,1
with,12.33,12.51,1,0.18,1
doctor,12.51,12.89,1,0.38,1
Shaw,12.89,13.66,1,0.77,1
%HESITATION,14.17,14.58,1,0.41,1
I,14.61,14.92,1,0.31,1
don't,15.07,15.33,1,0.26,1
know,15.33,15.42,1,0.09,1
if,15.42,15.68,1,0.26,1
you,15.68,15.82,1,0.14,1
recall,15.82,16.35,1,0.53,1
him,16.35,16.58,1,0.23,1
mentioning,16.58,17.16,1,0.58,1
to,17.16,17.65,1,0.49,1
that,17.65,17.9,1,0.25,1
somebody,17.9,18.25,1,0.35,1
might,18.25,18.54,1,0.29,1
run,18.54,18.68,1,0.14,1
you,18.68,18.96,1,0.28,1
yes,20.34,20.65,0,0.31,1
I,20.65,20.73,0,0.08,1
do,20.73,20.98,0,0.25,1
remember,20.98,21.43,0,0.45,1
he,21.43,21.61,0,0.18,1
said,21.61,21.89,0,0.28,1
that,21.89,22.15,0,0.26,1
that,22.15,22.38,0,0.23,1
somebody,23.12,23.63,0,0.51,1
was,23.63,23.79,0,0.16,1
going,23.79,23.97,0,0.18,1
to,23.97,24.15,0,0.18,1
ring,24.15,24.39,0,0.24,1
and,24.39,24.51,0,0.12,1
he,24.51,24.7,0,0.19,1
he,24.73,24.92,0,0.19,1
did,24.92,25.17,0,0.25,1
say,25.17,25.4,0,0.23,1
your,25.4,25.59,0,0.19,1
name,25.59,25.92,0,0.33,1
by,25.92,26.21,0,0.29,1
cop,26.21,26.5,0,0.29,1
remember,26.5,26.98,0,0.48,1
that,28.23,28.42,1,0.19,1
worry,28.42,28.65,1,0.23,1
about,28.65,28.9,1,0.25,1
that,28.9,29.06,1,0.16,1
I'm,29.06,29.16,1,0.1,1
just,29.16,29.36,1,0.2,1
part,29.36,29.56,1,0.2,1
of,29.56,29.65,1,0.09,1
the,29.65,29.74,1,0.09,1
team,29.74,30.32,1,0.58,1
%HESITATION,30.65,31.1,1,0.45,1
the,31.26,31.39,1,0.13,1
reason,31.39,31.7,1,0.31,1
they,31.7,31.77,1,0.07,1
asked,31.77,32.1,1,0.33,1
me,32.1,32.21,1,0.11,1
to,32.21,32.41,1,0.2,1
ring,32.41,32.7,1,0.29,1
actually,32.7,33.21,1,0.51,1
is,33.21,33.48,1,0.27,1
that,33.48,33.73,1,0.25,1
%HESITATION,34.04,34.5,1,0.46,1
I've,34.53,34.74,1,0.21,1
got,34.74,34.95,1,0.21,1
a,34.95,35.04,1,0.09,1
particular,35.04,35.68,1,0.64,1
interest,35.68,36.28,1,0.6,1
in,36.28,36.47,1,0.19,1
looking,36.5,36.81,1,0.31,1
after,36.81,37.12,1,0.31,1
people,37.12,37.46,1,0.34,1
with,37.46,37.65,1,0.19,1
your,37.65,37.83,1,0.18,1
kinds,37.83,38.24,1,0.41,1
of,38.24,38.35,1,0.11,1
difficulties,38.35,39.25,1,0.9,1
%HESITATION,39.72,40.28,1,0.56,1
and,40.54,40.87,1,0.33,1
really,40.87,41.21,1,0.34,1
the,41.21,41.66,1,0.45,1
reason,41.73,42.38,1,0.65,1
for,42.38,42.56,1,0.18,1
calling,42.56,43.14,1,0.58,1
today,43.14,43.8,1,0.66,1
he,43.8,43.95,1,0.15,1
was,43.95,44.46,1,0.51,1
festival,44.59,45.16,1,0.57,1
to,45.16,45.29,1,0.13,1
introduce,45.29,45.82,1,0.53,1
myself,45.82,46.51,1,0.69,1
but,46.79,46.98,1,0.19,1
also,46.98,47.31,1,0.33,1
if,47.31,47.54,1,0.23,1
if,47.57,47.84,1,0.27,1
you,47.84,47.97,1,0.13,1
felt,47.97,48.3,1,0.33,1
able,48.3,48.6,1,0.3,1
for,48.6,48.73,1,0.13,1
us,48.73,48.84,1,0.11,1
to,48.84,49,1,0.16,1
talk,49,49.32,1,0.32,1
for,49.32,49.46,1,0.14,1
a,49.46,49.51,1,0.05,1
few,49.51,49.78,1,0.27,1
minutes,49.78,50.38,1,0.6,1
%HESITATION,50.87,51.43,1,0.56,1
so,51.56,51.8,1,0.24,1
is,51.8,51.99,1,0.19,1
this,51.99,52.2,1,0.21,1
%HESITATION,52.2,52.32,1,0.12,1
is,52.32,52.63,1,0.31,1
this,52.63,52.8,1,0.17,1
a,52.8,52.95,1,0.15,1
good,53.02,53.25,1,0.23,1
time,53.25,53.59,1,0.34,1
to,53.59,54.12,1,0.53,1
to,54.16,54.34,1,0.18,1
speak,54.34,54.78,1,0.44,1
or,54.78,54.95,1,0.17,1
not,54.95,55.31,1,0.36,1
yes,55.71,56,0,0.29,1
yes,56.03,56.39,0,0.36,1
yes,56.87,57.19,0,0.32,1
I,57.51,57.58,0,0.07,1
can,57.58,57.79,0,0.21,1
go,57.79,58.02,0,0.23,1
out,58.02,58.47,0,0.45,1
so,58.8,59.09,0,0.29,1
I'm,59.09,59.24,0,0.15,1
here,59.24,59.47,0,0.23,1
what,59.47,59.7,0,0.23,1
time,59.79,60.24,0,0.45,1
okay,60.5,61.01,1,0.51,1
okay,61.17,61.76,1,0.59,1
and,62.18,62.6,1,0.42,1
%HESITATION,62.6,62.94,1,0.34,1
is,62.97,63.18,1,0.21,1
there,63.18,63.3,1,0.12,1
anybody,63.3,63.67,1,0.37,1
else,63.67,63.94,1,0.27,1
in,63.94,64.03,1,0.09,1
the,64.03,64.12,1,0.09,1
house,64.12,64.48,1,0.36,1
is,64.48,64.62,1,0.14,1
sold,64.62,64.95,1,0.33,1
or,64.95,65.17,1,0.22,1
somebody,65.17,65.64,1,0.47,1
that's,65.64,66,1,0.36,1
normally,66,66.39,1,0.39,1
with,66.39,66.6,1,0.21,1
you,66.6,66.73,1,0.13,1
when,66.73,66.89,1,0.16,1
you,66.89,66.97,1,0.08,1
have,66.97,67.14,1,0.17,1
conversations,67.14,68.13,1,0.99,1
no,69.34,69.54,0,0.2,1
my,69.71,69.98,0,0.27,1
%HESITATION,70.13,70.54,0,0.41,1
my,70.58,70.72,0,0.14,1
cat,70.72,71.05,0,0.33,1
thank,71.08,71.28,0,0.2,1
you,71.28,71.6,0,0.32,1
I'm,71.86,72.05,0,0.19,1
on,72.26,72.59,0,0.33,1
my,72.94,73.27,0,0.33,1
%HESITATION,73.27,73.68,0,0.41,1
my,74.12,74.39,0,0.27,1
my,74.42,74.56,0,0.14,1
friends,74.56,75.06,0,0.5,1
has,75.06,75.29,0,0.23,1
dropped,75.46,75.91,0,0.45,1
my,75.91,76.07,0,0.16,1
meals,76.07,76.48,0,0.41,1
off,76.48,76.67,0,0.19,1
for,76.67,76.87,0,0.2,1
the,76.87,77.01,0,0.14,1
day,77.01,77.46,0,0.45,1
says,77.82,78.18,0,0.36,1
that's,78.57,78.82,0,0.25,1
fine,78.82,79.29,0,0.47,1
okay,80.1,80.64,1,0.54,1
yeah,80.79,80.93,1,0.14,1
I,80.93,81.01,1,0.08,1
can,81.01,81.2,1,0.19,1
hear,81.2,81.57,1,0.37,1
I,81.84,81.93,1,0.09,1
can,81.93,82.08,1,0.15,1
hear,82.08,82.24,1,0.16,1
one,82.24,82.37,1,0.13,1
of,82.37,82.46,1,0.09,1
your,82.46,82.67,1,0.21,1
pets,82.67,82.97,1,0.3,1
in,82.97,83.06,1,0.09,1
the,83.06,83.13,1,0.07,1
background,83.13,83.69,1,0.56,1
but,84.67,84.88,1,0.21,1
to,84.88,85.05,1,0.17,1
conceive,85.05,85.4,1,0.35,1
%HESITATION,85.4,85.65,1,0.25,1
I.,85.65,85.76,1,0.11,1
D.,85.76,85.95,1,0.19,1
took,85.95,86.25,1,0.3,1
a,86.25,86.31,1,0.06,1
lot,86.31,86.49,1,0.18,1
to,86.49,86.6,1,0.11,1
them,86.6,86.93,1,0.33,1
yes,89.34,89.94,0,0.6,1
I.,89.94,90.01,0,0.07,1
G.,90.01,90.55,0,0.54,1
yes,90.88,91.52,1,0.64,1
so,92.33,92.51,1,0.18,1
they,92.51,92.64,1,0.13,1
positive,92.64,93.25,1,0.61,1
about,93.43,93.68,1,0.25,1
your,93.68,93.81,1,0.13,1
family,93.81,94.21,1,0.4,1
right,94.21,94.38,1,0.17,1
now,94.38,94.54,1,0.16,1
only,94.54,94.94,1,0.4,1
thing,95.65,95.78,0,0.13,1
L.,95.78,96.16,0,0.38,1
yeah,96.45,96.98,1,0.53,1
okay,98.11,98.69,1,0.58,1
so,99.01,99.55,1,0.54,1
if,99.66,99.89,1,0.23,1
we,99.89,100.04,1,0.15,1
may,100.04,100.26,1,0.22,1
be,100.26,100.71,1,0.45,1
spent,101.05,101.66,1,0.61,1
five,101.66,102.17,1,0.51,1
minutes,102.17,102.63,1,0.46,1
maybe,102.63,102.92,1,0.29,1
ten,102.92,103.21,1,0.29,1
minutes,103.21,103.88,1,0.67,1
having,103.94,104.28,1,0.34,1
a,104.28,104.37,1,0.09,1
chat,104.37,104.98,1,0.61,1
%HESITATION,105.42,106.01,1,0.59,1
you,106.69,106.8,0,0.11,1
know,106.8,106.97,0,0.17,1
I,106.97,107.13,0,0.16,1
come,107.17,107.44,0,0.27,1
I'm,107.68,107.84,0,0.16,1
not,107.84,108.02,0,0.18,1
