WORD,FROM,TO,SPEAKER,SPOKEN_TIME,LABEL
hi,1.48,2.01,0,0.53,0
Joe,2.21,2.79,0,0.58,0
hi,3.67,4.12,1,0.45,0
I'm,4.48,4.55,1,0.07,0
sorry,4.55,4.82,1,0.27,0
who's,4.82,4.98,1,0.16,0
speaking,4.98,5.41,1,0.43,0
%HESITATION,5.83,6.09,0,0.26,0
it's,6.09,6.43,0,0.34,0
hi,9.03,9.25,1,0.22,0
how,9.25,9.38,1,0.13,0
are,9.38,9.46,1,0.08,0
you,9.46,9.71,1,0.25,0
hi,9.97,10.47,0,0.5,0
I'm,10.47,10.83,0,0.36,0
well,10.83,11.16,0,0.33,0
thank,11.16,11.53,0,0.37,0
you,11.53,11.98,0,0.45,0
%HESITATION,12.01,12.51,0,0.5,0
hopefully,12.85,13.62,0,0.77,0
you,13.62,14.05,0,0.43,0
got,14.05,14.36,0,0.31,0
the,14.36,14.45,0,0.09,0
message,14.45,14.92,0,0.47,0
from,14.92,15.15,0,0.23,0
the,15.15,15.23,0,0.08,0
receptionist,15.23,15.99,0,0.76,0
and,15.99,16.1,0,0.11,0
I,16.1,16.15,0,0.05,0
was,16.15,16.32,0,0.17,0
going,16.32,16.57,0,0.25,0
to,16.57,16.96,0,0.39,0
bring,16.96,17.19,0,0.23,0
you,17.19,17.38,0,0.19,0
this,17.38,17.58,0,0.2,0
opportunity,17.58,18.34,0,0.76,0
%HESITATION,19.27,19.62,1,0.35,0
yeah,19.62,19.96,1,0.34,0
I,20.01,20.1,1,0.09,0
go,20.1,20.43,1,0.33,0
good,21.72,22.17,0,0.45,0
good,22.61,23.01,0,0.4,0
%HESITATION,23.56,24.18,0,0.62,0
I'm,24.33,24.82,0,0.49,0
%HESITATION,24.82,25.36,0,0.54,0
just,25.68,26.02,0,0.34,0
just,26.11,26.53,0,0.42,0
%HESITATION,26.53,26.77,0,0.24,0
I've,27.12,27.32,0,0.2,0
got,27.32,27.44,0,0.12,0
about,27.44,27.8,0,0.36,0
fifteen,27.8,28.22,0,0.42,0
twenty,28.22,28.61,0,0.39,0
minutes,28.61,29.14,0,0.53,0
to,29.17,29.37,0,0.2,0
to,29.42,29.58,0,0.16,0
spend,29.58,29.98,0,0.4,0
on,29.98,30.16,0,0.18,0
this,30.16,30.57,0,0.41,0
%HESITATION,30.62,31.11,0,0.49,0
conversation,31.57,32.4,0,0.83,0
because,32.4,32.65,0,0.25,0
I,32.65,32.73,0,0.08,0
wanted,32.73,33.17,0,0.44,0
to,33.17,33.32,0,0.15,0
talk,33.32,33.68,0,0.36,0
quickly,33.68,34.35,0,0.67,0
%HESITATION,34.85,35.56,0,0.71,0
about,35.62,36.28,0,0.66,0
%HESITATION,37.09,37.72,0,0.63,0
the,38.08,38.31,0,0.23,0
last,38.31,38.77,0,0.46,0
letter,38.77,38.96,0,0.19,0
that,39.62,39.85,0,0.23,0
you,39.97,40.16,0,0.19,0
got,40.16,40.61,0,0.45,0
%HESITATION,40.83,41.14,0,0.31,0
following,41.14,41.53,0,0.39,0
your,41.53,41.67,0,0.14,0
appointment,41.67,42.23,0,0.56,0
they,42.23,42.3,0,0.07,0
said,42.3,42.61,0,0.31,0
they,42.61,42.81,0,0.2,0
from,44.22,44.38,1,0.16,0
you,44.38,44.69,1,0.31,0
%HESITATION,46.22,46.38,0,0.16,0
yes,46.38,46.81,0,0.43,0
I,46.81,47.08,0,0.27,0
yeah,47.11,47.45,0,0.34,0
that's,47.64,47.95,0,0.31,0
the,47.95,48.07,0,0.12,0
one,48.07,48.52,0,0.45,0
yes,48.72,49.3,0,0.58,0
%HESITATION,49.35,49.9,0,0.55,0
and,50.32,50.85,0,0.53,0
%HESITATION,50.85,51.31,0,0.46,0
what,52.46,52.73,0,0.27,0
I'm,52.73,52.85,0,0.12,0
hoping,52.85,53.34,0,0.49,0
we,53.34,53.47,0,0.13,0
can,53.47,53.65,0,0.18,0
do,53.65,53.95,0,0.3,0
this,53.95,54.18,0,0.23,0
often,54.18,54.6,0,0.42,0
name,54.6,55,0,0.4,0
is,55,55.3,0,0.3,0
just,55.3,55.65,0,0.35,0
to,55.65,55.82,0,0.17,0
stop,55.82,56.4,0,0.58,0
thinking,56.87,57.39,0,0.52,0
A.,57.39,57.47,0,0.08,0
let,57.47,57.72,0,0.25,0
two,57.72,57.91,0,0.19,0
back,57.91,58.4,0,0.49,0
%HESITATION,58.96,59.6,0,0.64,0
about,59.63,60.37,0,0.74,0
how,60.55,61.32,0,0.77,0
%HESITATION,61.74,61.97,0,0.23,0
%HESITATION,62,62.21,0,0.21,0
I,62.21,62.31,0,0.1,0
and,62.31,62.49,0,0.18,0
my,62.49,62.69,0,0.2,0
team,62.69,63.19,0,0.5,0
and,63.19,63.33,0,0.14,0
those,63.33,63.63,0,0.3,0
%HESITATION,63.63,63.9,0,0.27,0
we,63.9,64.04,0,0.14,0
can,64.04,64.29,0,0.25,0
support,64.29,64.89,0,0.6,0
you,64.89,65.36,0,0.47,0
%HESITATION,65.75,66.08,0,0.33,0
for,66.08,66.36,0,0.28,0
this,66.36,66.56,0,0.2,0
next,66.56,66.94,0,0.38,0
phase,66.94,67.59,0,0.65,0
whatever,67.63,68.04,0,0.41,0
whatever,68.04,68.5,0,0.46,0
it,68.5,68.61,0,0.11,0
may,68.61,68.77,0,0.16,0
homes,68.77,69.44,0,0.67,0
%HESITATION,70.13,70.82,0,0.69,0
I'm,71.01,71.23,0,0.22,0
just,71.23,71.49,0,0.26,0
wondering,71.49,71.96,0,0.47,0
if,71.96,72.24,0,0.28,0
your,72.24,72.73,0,0.49,0
okay,72.77,73.23,0,0.46,0
to,73.23,73.4,0,0.17,0
discuss,73.4,73.88,0,0.48,0
that,73.88,74.2,0,0.32,0
so,74.65,75.02,0,0.37,0
the,75.09,75.16,0,0.07,0
name,75.16,75.59,0,0.43,0
sure,76.75,77.11,1,0.36,0
for,77.29,77.57,1,0.28,0
next,77.75,78.1,1,0.35,0
twenty,78.1,78.35,1,0.25,0
minutes,78.35,78.82,1,0.47,0
yeah,79.78,80.09,0,0.31,0
we,80.09,80.28,0,0.19,0
just,80.28,80.53,0,0.25,0
opening,80.53,80.99,0,0.46,0
up,80.99,81.26,0,0.27,0
the,81.29,81.38,0,0.09,0
conversation,81.38,82.27,0,0.89,0
we,82.27,82.4,0,0.13,0
won't,82.4,82.62,0,0.22,0
be,82.62,82.72,0,0.1,0
able,82.72,82.93,0,0.21,0
to,82.93,83.05,0,0.12,0
get,83.23,83.47,0,0.24,0
to,83.5,83.65,0,0.15,0
the,83.65,83.75,0,0.1,0
end,83.75,84.16,0,0.41,0
because,84.16,84.57,0,0.41,0
they,84.57,84.73,0,0.16,0
will,84.73,84.98,0,0.25,0
be,84.98,85.38,0,0.4,0
%HESITATION,85.79,86.1,0,0.31,0
lots,86.1,86.44,0,0.34,0
of,86.44,86.52,0,0.08,0
things,86.52,86.91,0,0.39,0
that,86.91,87.05,0,0.14,0
will,87.05,87.23,0,0.18,0
need,87.23,87.56,0,0.33,0
to,87.56,88.04,0,0.48,0
talk,88.85,89.1,0,0.25,0
about,89.1,89.68,0,0.58,0
%HESITATION,89.94,90.7,0,0.76,0
in,90.79,90.94,0,0.15,0
the,90.94,91.04,0,0.1,0
coming,91.04,91.41,0,0.37,0
weeks,91.41,91.8,0,0.39,0
and,91.8,91.96,0,0.16,0
months,91.96,92.26,0,0.3,0
%HESITATION,93.07,93.45,0,0.38,0
but,93.45,93.71,0,0.26,0
I,93.74,93.83,0,0.09,0
think,94.04,94.37,0,0.33,0
it's,94.4,94.66,0,0.26,0
just,94.66,95.07,0,0.41,0
really,95.07,95.38,0,0.31,0
I,95.38,95.5,0,0.12,0
wanted,95.5,95.97,0,0.47,0
to,95.97,96.37,0,0.4,0
flood,96.72,97.05,0,0.33,0
gates,97.05,97.33,0,0.28,0
with,97.33,97.5,0,0.17,0
you,97.5,98.04,0,0.54,0
%HESITATION,98.13,98.78,0,0.65,0
so,98.81,99.39,0,0.58,0
that,99.46,99.78,0,0.32,0
I've,100.56,100.84,0,0.28,0
got,100.84,101.06,0,0.22,0
I've,101.73,101.98,0,0.25,0
received,101.98,102.39,0,0.41,0
and,104.11,104.7,0,0.59,0
%HESITATION,105.07,105.37,0,0.3,0
what,105.37,105.59,0,0.22,0
I,105.59,105.65,0,0.06,0
wanted,105.65,106.09,0,0.44,0
to,106.09,106.24,0,0.15,0
do,106.24,106.84,0,0.6,0
is,107.11,107.44,1,0.33,0
to,107.44,108.16,1,0.72,0
stop,108.37,108.82,0,0.45,0
talking,108.82,109.26,0,0.44,0
about,109.26,109.58,0,0.32,0
how,109.58,109.78,0,0.2,0
we,109.78,110.15,0,0.37,0
can,110.25,110.42,0,0.17,0
help,110.42,110.76,0,0.34,0
you,110.76,111.24,0,0.48,0
%HESITATION,111.6,111.96,0,0.36,0
from,111.96,112.15,0,0.19,0
the,112.15,112.22,0,0.07,0
primary,112.22,112.61,0,0.39,0
Kappa,112.61,113.04,0,0.43,0
Specht,113.04,113.49,0,0.45,0
is,113.49,113.81,0,0.32,0
%HESITATION,114.13,114.51,0,0.38,0
but,114.51,114.74,0,0.23,0
%HESITATION,114.74,114.87,0,0.13,0
so,114.87,115.37,0,0.5,0
%HESITATION,115.54,116.07,0,0.53,0
to,116.16,116.31,0,0.15,0
think,116.31,116.58,0,0.27,0
about,116.58,117.09,0,0.51,0
how,117.24,117.62,0,0.38,0
best,117.65,118.04,0,0.39,0
we,118.04,118.16,0,0.12,0
can,118.16,118.45,0,0.29,0
support,118.45,118.98,0,0.53,0
