WORD,FROM,TO,SPEAKER,SPOKEN_TIME,LABEL
hello,2.68,3.22,0,0.54,1
hi,4.44,4.75,0,0.31,1
hi,5.05,5.37,1,0.32,1
E.,5.37,5.55,1,0.18,1
aids,5.55,5.92,1,0.37,1
%HESITATION,5.92,6.32,1,0.4,1
is,6.32,6.45,1,0.13,1
that,6.45,6.58,1,0.13,1
you,6.58,6.75,1,0.17,1
%HESITATION,7.04,7.26,1,0.22,1
so,7.26,7.47,1,0.21,1
you,7.47,7.65,1,0.18,1
so,7.69,7.85,1,0.16,1
you,7.85,8.3,1,0.45,1
it's,8.56,8.84,0,0.28,1
may,8.84,9.11,0,0.27,1
yet,9.11,9.62,0,0.51,1
%HESITATION,9.65,10.2,0,0.55,1
I'm,10.72,11.07,0,0.35,1
rob,11.07,11.3,0,0.23,1
I'm,11.3,11.47,0,0.17,1
so,11.47,11.68,0,0.21,1
sorry,11.68,12.27,0,0.59,1
I,12.27,12.64,0,0.37,1
I,12.67,12.84,0,0.17,1
got,12.84,13.1,0,0.26,1
caught,13.1,13.4,0,0.3,1
up,13.4,13.63,0,0.23,1
with,13.63,13.75,0,0.12,1
the,13.75,14.06,0,0.31,1
with,14.09,14.28,0,0.19,1
another,14.28,14.58,0,0.3,1
cold,14.58,14.97,0,0.39,1
you,14.97,15.05,0,0.08,1
know,15.05,15.19,0,0.14,1
what,15.19,15.33,0,0.14,1
it's,15.33,15.51,0,0.18,1
like,15.51,15.87,0,0.36,1
you,15.87,16.02,0,0.15,1
say,16.02,16.29,0,0.27,1
P.,17.4,17.67,1,0.27,1
people,17.91,18.18,1,0.27,1
really,18.18,18.4,1,0.22,1
I,19.53,19.58,1,0.05,1
worry,19.58,20.01,1,0.43,1
my,20.06,20.22,1,0.16,1
problem,20.22,20.6,1,0.38,1
is,20.6,20.76,1,0.16,1
cross,20.76,20.97,1,0.21,1
country,20.97,21.49,1,0.52,1
yes,21.71,22.08,0,0.37,1
yeah,22.11,22.31,0,0.2,1
of,22.31,22.42,0,0.11,1
course,22.42,22.85,0,0.43,1
%HESITATION,23.18,23.62,0,0.44,1
well,23.67,23.99,0,0.32,1
it,24.02,24.22,0,0.2,1
was,24.22,24.36,0,0.14,1
Sam,24.41,24.97,0,0.56,1
I,25.06,25.17,0,0.11,1
just,25.17,25.39,0,0.22,1
wanted,25.39,25.58,0,0.19,1
to,25.58,25.67,0,0.09,1
talk,25.67,26.01,0,0.34,1
to,26.01,26.15,0,0.14,1
a,26.15,26.18,0,0.03,1
few,26.18,26.4,0,0.22,1
minutes,26.4,26.72,0,0.32,1
a,26.72,26.82,0,0.1,1
few,26.82,27.02,0,0.2,1
minutes,27.02,27.4,0,0.38,1
Raley,27.4,27.96,0,0.56,1
%HESITATION,27.99,28.44,0,0.45,1
and,28.9,29.19,0,0.29,1
it's,29.19,29.49,0,0.3,1
I,29.49,29.6,0,0.11,1
think,29.6,29.86,0,0.26,1
it's,29.86,30.01,0,0.15,1
important,30.01,30.49,0,0.48,1
